age,income,credit_score,loan_amount,debt_to_income_pct,num_dependents,years_employed,account_balance,num_prev_loans,monthly_expenses,gender,employment_status,education_level,loan_purpose,region,marital_status,application_year,loan_duration_months,application_date,loan_default
56,70760.04,802,11846.59,67.15,1,11.7,,8,19630.68,Female,Self-Employed,,Business,South,Married,2018,24,23/06/2018,1
69,31366.22,629,58014.2,21.87,,5.7,2077.13,9,5329.77,Male,Part-Time,Master,Education,Central,Single,2018,36,6/03/2018,1
46,23374.68,608,19059.09,16.07,0,,8815.6,2,4528.69,Female,Self-Employed,Master,Education,East,Single,2023,84,4/05/2023,0
32,46647.88,638,57194.52,18.88,0,0.8,2253.18,5,7815.41,Female,Full-Time,Master,Personal,South,Widowed,2015,12,4/02/2015,1
60,49864.95,647,19768.34,19,2,,17106.1,6,14020.53,Male,Part-Time,High School,Education,Central,,2024,60,18/03/2024,1
38,47515.61,448,8050.15,31.41,2,11.3,13066.2,8,8890.15,Female,Unemployed,Bachelor,Business,North,Single,2015,48,7/11/2015,0
36,55308.95,509,39869.36,13.57,0,24,725.5,8,18450.7,Non-Binary,Full-Time,,Personal,East,Divorced,2021,84,8/10/2021,1
40,164457.18,522,43635.72,36.38,6,2.7,4878.07,9,58027.64,Female,Full-Time,Master,Business,East,Married,2013,36,21/08/2013,1
28,17999.49,695,11086.43,24.65,4,2.4,3391.38,2,4006.15,Female,Full-Time,PhD,Medical,Central,,2019,60,26/04/2019,0
41,65604.55,698,51044.87,44.91,2,11.4,4359.5,2,23485.18,Male,Part-Time,Bachelor,Home,West,Single,2020,24,10/03/2020,0
57,84808.34,686,10249.22,21.54,1,9.6,78029.67,8,,Male,Full-Time,High School,Home,South,Married,2021,48,24/01/2021,0
41,,505,19672.91,7.92,1,1.6,14630.24,5,19778.26,Female,Retired,Bachelor,Personal,East,Married,2020,48,27/11/2020,1
20,15342.28,488,13044.4,71.54,4,11.2,586.54,5,3343.84,Male,Retired,High School,Home,West,,2019,48,14/10/2019,1
39,61007.61,642,25823.41,30.88,2,4.8,6909.64,0,12991.35,Male,Full-Time,High School,Education,East,Divorced,2013,36,5/01/2013,0
70,75594.11,508,13427.61,38.91,,3.5,2939.43,4,16121.72,Female,Full-Time,High School,Car,East,Single,2020,48,7/12/2020,1
19,38253,602,9969.16,48.55,6,5.1,3743.71,4,,Male,Full-Time,Bachelor,Car,North,Married,2015,60,2/03/2015,1
61,86302.02,667,145718.97,27.69,,26.1,2650.6,1,15315.65,Female,Self-Employed,Master,Home,West,Single,2023,36,6/03/2023,0
47,107300.73,673,3570.87,14.46,3,5.5,3823.14,7,18966.57,Female,Self-Employed,Bachelor,Medical,South,Single,2024,60,25/12/2024,0
55,89488.09,813,4886.67,21,1,3.8,988.31,9,18211.18,Male,Part-Time,,Education,Central,Single,2020,36,18/12/2020,0
19,225738.76,535,21366.74,8.31,6,2.4,11919.42,0,41050.92,Male,Unemployed,,Education,Central,,2021,60,22/08/2021,0
50,54284.36,444,6189.25,36.18,1,3.3,2143.26,6,,Male,Unemployed,High School,Personal,West,Married,2012,36,6/03/2012,1
29,79278.96,684,25187.48,19.28,0,6.9,5025.07,9,21569.13,Female,Part-Time,,Car,North,Single,2021,84,9/11/2021,0
39,53051.3,701,18686.22,16.58,5,1.6,955.52,1,10697.22,Female,Unemployed,High School,Home,North,Married,2014,36,5/11/2014,0
61,42234.52,695,19358.05,26.37,0,1,34834.26,9,16871.62,Female,Unemployed,Bachelor,Car,Central,Single,2022,60,22/12/2022,0
42,26249.99,762,8595.61,5.71,1,1.7,368.92,0,4598.43,Female,Full-Time,Master,Home,East,Married,2016,36,22/12/2016,0
66,45634.76,547,2704.31,20.21,5,16.7,34639.53,2,10299.19,Female,Unemployed,,Car,South,Single,2018,12,25/12/2018,0
44,83903.36,605,15583.47,15.04,4,0.3,7519.5,4,26608.2,Female,Full-Time,,Home,South,Single,2015,48,22/01/2015,0
45,63039.37,406,24351.53,21.25,0,,12938.64,3,16840.49,Female,Full-Time,High School,Personal,North,,2024,36,21/07/2024,0
32,50579.18,705,51280.81,51.85,0,0.6,3140.01,6,10027.26,Female,Full-Time,Bachelor,Personal,East,Married,2015,24,20/12/2015,1
64,48905.51,584,26531.72,12.15,4,5.9,591.47,1,14334.36,Male,Unemployed,Bachelor,Car,West,Divorced,2015,24,1/04/2015,0
68,56867.57,593,42158.01,19.79,2,,4263.12,1,10220.8,Female,Retired,High School,Car,West,,2010,60,28/10/2010,0
61,197288.65,632,12312.76,27.54,6,10.4,9768.7,3,33823.49,Male,Full-Time,High School,Home,Central,Married,2014,48,19/02/2014,0
72,37130.68,675,22284.94,67.75,4,6.1,1725.48,3,14317.13,Male,Self-Employed,Bachelor,Education,North,Divorced,2020,36,6/12/2020,0
74,44654.95,606,20598.63,4.66,6,5,6886.76,8,13233.94,Male,Full-Time,Bachelor,Home,North,Married,2021,36,17/04/2021,0
20,20644.5,750,8398,10.15,5,9.4,3875.34,9,4489.05,Female,Full-Time,Master,Car,South,,2021,60,21/11/2021,0
54,85091.76,665,5921.16,18.06,4,3.7,2298.7,1,19407.99,Male,Part-Time,,Personal,Central,Married,2012,48,11/04/2012,0
68,30816.31,749,6328.61,19.04,3,1.8,20617.94,9,5965.45,Male,Full-Time,Bachelor,Home,West,Married,2019,12,21/06/2019,0
24,115746.16,714,14353.95,8.66,6,5.8,43001.52,8,25806.91,Male,Full-Time,Bachelor,Education,West,Single,2015,24,6/10/2015,0
26,63950.17,791,41529.75,39.27,,1.9,,1,17785.62,Female,Self-Employed,High School,Business,West,,2019,60,22/09/2019,0
56,143649.74,600,59062.36,34.43,1,20.7,3804.1,8,25329.11,Male,Full-Time,High School,Home,East,Widowed,2014,36,8/06/2014,0
35,66707.08,663,24591.95,7.62,3,11.8,934.98,4,18566.95,Male,Full-Time,Bachelor,Business,South,Married,2019,36,19/08/2019,0
21,35680.12,692,35158.82,22.28,0,0.2,13228.02,4,8570.2,Male,Full-Time,High School,Business,North,Divorced,2021,12,12/03/2021,0
42,29697.52,583,29376.33,30.65,4,2.4,1666.39,5,,Male,Retired,High School,Car,West,Divorced,2014,60,19/12/2014,1
67,40542.34,744,11618.51,15.02,,1.4,2843.54,3,9433.17,Female,Retired,High School,Car,South,Single,2024,36,6/08/2024,0
26,21634.54,706,26631.68,28.73,3,0.1,3729.94,3,5446.69,Female,Part-Time,Master,Medical,East,Widowed,2023,60,28/02/2023,1
43,49772.88,578,4463.54,26.47,4,8.8,2816.69,0,13933.72,Female,Retired,High School,Car,East,Single,2012,60,24/03/2012,0
70,39205.65,563,23098.91,38.52,0,2.5,2212.06,4,14033.19,Female,Full-Time,,Home,South,Single,2019,48,12/06/2019,1
61,16773.61,479,2168.15,36.11,6,0.6,5001.13,1,3011.63,Female,Full-Time,Bachelor,Medical,North,Divorced,2018,60,18/07/2018,1
25,80276.93,591,29504.66,45.26,1,4.4,20985.3,8,14325.04,Male,Part-Time,,Education,West,Married,2022,60,21/07/2022,1
64,26387.94,587,48924.91,6.81,2,11.6,,8,4817.57,Female,Full-Time,PhD,Home,West,Single,2012,48,20/06/2012,1
52,19712.31,794,38034.75,84.05,6,5.4,3347.75,0,3478.58,Female,Full-Time,Bachelor,Business,South,Married,2018,48,20/08/2018,1
31,43200.51,805,32817.12,7.71,2,0.8,25325.43,9,11753.8,Female,Retired,,Education,South,,2017,60,9/10/2017,0
34,210566.58,612,63238.46,34.35,6,1.3,2563.95,3,66237.66,Female,Part-Time,Master,Car,South,Married,2018,48,3/08/2018,1
53,40360.15,766,32531.3,49.18,2,1.9,3676.7,8,,Female,Part-Time,Bachelor,Medical,East,Married,2017,24,5/03/2017,1
67,52304.17,633,9344.31,3.84,4,4.6,1744.4,7,9963.9,Non-Binary,Part-Time,Bachelor,Medical,South,Married,2016,36,10/10/2016,1
57,74414.3,671,20607.96,29.21,1,10.7,14617.16,1,24099.9,Female,Self-Employed,Bachelor,Education,West,Divorced,2014,84,22/04/2014,0
21,29250.21,660,18663.2,10.72,5,0.2,10934.91,3,,Male,Full-Time,Master,Car,South,Single,2012,36,7/12/2012,0
23,30010.89,696,27428.23,72.52,2,7,8964.22,4,5342.84,Male,Self-Employed,Bachelor,Personal,West,Single,2015,36,17/02/2015,1
71,68663.87,617,7108.61,32.47,,0.1,,9,16171.07,Male,Self-Employed,Master,Education,East,Married,2015,48,6/09/2015,1
21,59246.59,643,13485.03,25.27,0,29,12860.2,2,21988.09,Male,Part-Time,High School,Car,South,Married,2023,48,6/01/2023,0
46,164222.59,613,13691.68,24.62,1,1,16983.56,6,31048.81,Male,Full-Time,Bachelor,Car,Central,Married,2015,84,14/10/2015,1
35,56532.37,588,7450.57,41.03,3,,2602.11,8,18215.65,Male,Full-Time,Bachelor,Home,South,,2014,60,5/12/2014,1
43,67459.97,653,5260.11,34.5,0,1.4,15080.1,7,11703.88,Male,Self-Employed,Bachelor,Education,West,Married,2012,12,1/02/2012,0
61,61181.21,657,11900.86,49.52,1,,2718.82,0,14559.37,Female,Full-Time,Bachelor,Education,West,Single,2023,12,1/12/2023,0
27,30908.46,345,22904.71,23.28,4,3.2,1064.53,5,5486.03,Female,Unemployed,Bachelor,Car,South,Married,2013,36,14/10/2013,1
65,43428.38,715,10532.47,40.38,1,7.6,12738.86,5,7902.4,Female,Full-Time,PhD,Car,Central,Married,2015,60,13/08/2015,0
32,43123.8,450,13453.18,9.5,0,2,501.33,4,14053.59,Female,Full-Time,,Car,West,Divorced,2023,60,19/06/2023,1
25,69270.03,628,7974.74,50.03,2,8.9,2244.26,3,22401.07,Female,Full-Time,High School,Personal,East,Married,2019,60,2/02/2019,1
31,110229.67,679,22599.03,59.38,0,3.8,20532.66,6,21197.08,Female,Self-Employed,,Home,West,Married,2018,24,18/08/2018,0
74,57929.52,667,12668.5,45.4,2,0.3,728.29,8,,Male,Full-Time,Bachelor,Business,North,Single,2016,36,25/01/2016,1
38,92002.74,523,7161.74,26.48,2,3.1,27015.27,0,24338.81,Male,Retired,Bachelor,Home,South,Divorced,2014,24,8/10/2014,0
33,35227.99,659,19046.58,25.86,,,11313.89,8,11069.9,Male,Retired,PhD,Education,Central,Single,2018,24,22/06/2018,0
62,63618.93,695,53303.46,12.87,3,10.5,2194.94,0,11599.65,Male,Full-Time,,Home,West,Single,2020,60,7/08/2020,0
35,58033.53,581,11515.67,8.75,2,3.6,18658.72,6,10605.01,Female,Unemployed,Master,Home,Central,Single,2023,48,17/03/2023,0
64,,725,18930.47,29.6,4,2.1,808.87,9,9566.02,Male,Part-Time,High School,Personal,East,,2023,24,26/08/2023,0
70,35756.06,546,7195.85,18.44,4,3,2469.57,1,7174.35,Male,Full-Time,Master,Car,North,Single,2020,60,20/08/2020,1
43,44726.55,695,1990.59,15.63,1,17.1,2360.73,7,15125.04,Male,Full-Time,,Car,North,Single,2013,36,3/07/2013,1
42,281353.93,789,30780.9,14.17,3,2.6,,1,106896.59,Female,Part-Time,High School,Car,North,,2024,84,13/03/2024,0
62,37530.02,730,5113.83,26.96,1,1.1,710.34,7,12140.64,Female,Full-Time,Bachelor,Home,North,Single,2012,60,18/06/2012,0
46,51211.06,619,6952.38,24.2,5,7.4,1473.24,4,10105.12,Female,Self-Employed,Bachelor,Education,West,Divorced,2020,36,4/06/2020,0
62,17516.19,675,35796.75,32.29,2,13.2,9809.57,4,5083.46,Female,Self-Employed,,Home,West,Widowed,2022,84,18/06/2022,0
18,80923.77,510,18172.65,23.8,3,0.4,40323.56,5,17409.81,Male,Self-Employed,,Education,West,Married,2017,36,24/03/2017,1
42,88855.79,576,10572.96,21.47,5,5.8,1050.06,4,35186.21,Male,Unemployed,High School,Home,West,,2015,36,14/01/2015,1
